"Map ID","Name","Address","Category","Estimated walking time","Approximate miles","Budget","Suggested visit","Description","Planning notes","Source","Walking directions","Latitude","Longitude","Coordinate source"
"01","Muse Restaurant & Wine Bar","82 Society Street, Charleston SC","Dining","1–3 min","0.02","$$$","75–120 min","Mediterranean cooking, pasta and wine in a small historic house. The most convenient sit-down dinner in this guide: next door to your lodging.","Reserve for dinner; check Sunday service before planning your departure-day meal here.","https://www.charlestoncvb.com/plan-your-trip/dining-nightlife~124/?location=13%2F","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Muse%20Restaurant%20%26%20Wine%20Bar%2C%2082%20Society%20Street%2C%20Charleston%20SC&travelmode=walking","32.783504982135","-79.933487839818","US Census address interpolation"
"02","FIG","232 Meeting Street, Charleston SC","Dining","3–7 min","0.17","$$$$","90–120 min","Seasonal, ingredient-focused cooking; a strong choice for your main occasion dinner. Menus change, so choose it for the cooking rather than one promised dish.","Book as soon as your date becomes available. Check the restaurant's own booking link for its release policy.","https://eatatfig.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=FIG%2C%20232%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.782414330126","-79.931686530809","US Census address interpolation"
"03","Delaney Oyster House","115 Calhoun Street, Charleston SC","Dining","7–11 min","0.37","$$$","60–100 min","Oysters, raw-bar dishes and seafood in a historic house; convenient before a Gaillard performance or after Marion Square.","Reservations recommended. Published service includes dinner daily and lunch Friday–Sunday; verify the trip-week schedule.","https://mail.delaneyoysterhouse.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Delaney%20Oyster%20House%2C%20115%20Calhoun%20Street%2C%20Charleston%20SC&travelmode=walking","32.787202102279","-79.932972250267","US Census address interpolation"
"04","Hank's Seafood Restaurant","10 Hayne Street, Charleston SC","Dining","6–11 min","0.34","$$$","75–120 min","Traditional Charleston seafood close to the City Market. A useful choice for a group that wants familiar seafood preparations and a substantial dinner.","Reserve. Published lunch is Thursday–Sunday, 11:30–2; dinner nightly from 5.","https://www.hanksseafoodrestaurant.com/location/charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Hank's%20Seafood%20Restaurant%2C%2010%20Hayne%20Street%2C%20Charleston%20SC&travelmode=walking","32.781729473753","-79.929911720452","US Census address interpolation"
"05","167 Raw Oyster Bar","193 King Street, Charleston SC","Dining","7–11 min","0.36","$$$","60–100 min plus wait","Lively seafood and oyster-bar stop on lower King Street. Convenient for lunch or an early dinner while shopping.","First come, first served; no reservations. Published Mon–Sat 11am–11pm, closed Sunday. Visit by Oct. 31; allow for a wait.","https://www.167rawoysterbar.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=167%20Raw%20Oyster%20Bar%2C%20193%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.779380368579","-79.933139373934","US Census address interpolation"
"06","Cru Café","18 Pinckney Street, Charleston SC","Dining","7–11 min","0.35","$$–$$$","60–90 min","A small historic-house café with comfort food; an appealing lunch break near the market and Ansonborough.","Reserve when available. Confirm lunch and dinner operating days rather than assuming all-day service.","https://crucafe.com/contact/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Cru%20Caf%C3%A9%2C%2018%20Pinckney%20Street%2C%20Charleston%20SC&travelmode=walking","32.782347121455","-79.929118596695","US Census address interpolation"
"07","Basic Kitchen","82 Wentworth Street, Charleston SC","Dining","3–7 min","0.19","$$","45–90 min","Vegetable-forward bowls and seasonal plates. A useful lighter meal between richer Lowcountry dinners.","Review the current menu for dietary needs; the restaurant is not exclusively vegan.","https://www.basickitchen.com/location/basic-kitchen-copy/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Basic%20Kitchen%2C%2082%20Wentworth%20Street%2C%20Charleston%20SC&travelmode=walking","32.782106075653","-79.934960747334","US Census address interpolation"
"08","Le Farfalle","15 Beaufain Street, Charleston SC","Dining","5–9 min","0.29","$$$","75–120 min","Italian food and pasta, with a pleasant setting just off King. A good change of cuisine during a seafood-heavy trip.","Reserve dinner; request outdoor seating if offered, subject to weather.","https://www.lefarfallecharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Le%20Farfalle%2C%2015%20Beaufain%20Street%2C%20Charleston%20SC&travelmode=walking","32.780962357509","-79.934468827549","US Census address interpolation"
"09","Poogan's Porch","72 Queen Street, Charleston SC","Dining","9–14 min","0.49","$$–$$$","60–100 min","Southern cooking in a historic house. Choose it for biscuits, a substantial brunch or a classic Charleston dinner setting.","Published brunch daily 9–3; dinner 4:30–9:30. Reservations recommended, especially Halloween weekend.","https://www.poogansporch.com/contact","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Poogan's%20Porch%2C%2072%20Queen%20Street%2C%20Charleston%20SC&travelmode=walking","32.778053000351","-79.931472330854","US Census address interpolation"
"10","Husk","76 Queen Street, Charleston SC","Dining","10–15 min","0.51","$$$","90–120 min","Seasonal Southern cooking in a historic Queen Street house; an alternative occasion dinner to FIG.","Book ahead and read the day's menu. Restaurant and bar arrangements may differ.","https://huskrestaurant.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Husk%2C%2076%20Queen%20Street%2C%20Charleston%20SC&travelmode=walking","32.777988035615","-79.931862373685","US Census address interpolation"
